文献,矿名,份,市/县,岩性,密度（kg*m3）,体积模量（Gpa）,剪切模量/GPa,内聚力（MPa）,内摩擦角,抗拉强度（MPa）,抗压强度/MPa,弹性模量（Gpa）,泊松比,埋深,厚度,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,强风化带,1630,,,0.95,31,1.98,,0.993,0.18,15,,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,细砂岩,2590,,,7.2,42,2.41,,32.91,0.24,50,,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,中砂岩,2830,,,12.11,39,2.68,,36.1,0.27,100,,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,粗砂岩,2980,,,11.59,41,2.96,,33.85,0.21,150,,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,泥岩,2530,,,1.2,40,2.02,,35.2,0.36,200,,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,煤层,1720,,,0.8,30,1.03,,5.3,0.32,270,,,,,,
古建筑压煤开采对斜坡上覆堆积层变形扰动影响研究,煤业公司,山西,,石灰岩,2870,,,15,36,4.27,,23.5,0.2,275,,,,,,
倾斜煤层厚硬顶板切顶留巷关键参数优化研究,长城六矿,内蒙古,鄂尔多斯市,粉砂岩,2618,,,,47,4.1,53.3,25.4,,348.64,7.4,,,,,
倾斜煤层厚硬顶板切顶留巷关键参数优化研究,长城六矿,内蒙古,,中粗砂岩,2559,,,,45,3.3,40.92,9.61,,356.04,8.5,,,,,
倾斜煤层厚硬顶板切顶留巷关键参数优化研究,长城六矿,内蒙古,,粉砂岩,2618,,,,47,4.1,53.3,25.4,,364.54,12,,,,,
